letter	similarity
facebook	7.38392050587
google	9.3828125
youtube	5.78666666667
hotmail	10.570807993
yahoo	6.87699115044
craigslist	2.99478714162
yahoo mail	11.9475524476
twitter	5.684733514
ebay	3.87230215827
amazon	4.68059181897
espn	4.79373368146
weather	3.76381461676
zedge	7.38893766462
pinterest	7.35418502203
games	3.01483420593
skype	9.82291666667
news	4.54340277778
dictionary	2.22657657658
justin bieber	5.13212669683
yahoo messenger	10.8693379791
horoscope	3.48651162791
netflix	4.57699115044
pandora	6.23181818182
dictionary	2.22657657658
one direction	6.02533936652
angry birds	3.59461883408